City,Year,Month,AQI
Chennai,2025,6,89.99299419
Chennai,2025,7,89.99299419
Delhi,2015,1,342.2903226
Delhi,2015,2,327.9285714
Delhi,2015,3,256.0645161
Delhi,2015,4,305.2666667
Delhi,2015,5,348.5806452
Delhi,2015,6,258.3333333
Delhi,2015,7,200.2903226
Delhi,2015,8,218.0645161
Delhi,2015,9,225.3
Delhi,2015,10,325
Delhi,2015,11,405.0333333
Delhi,2015,12,355.3225806
Delhi,2016,1,441.9032258
Delhi,2016,2,312.4482759
Delhi,2016,3,230.0967742
Delhi,2016,4,290.6666667
Delhi,2016,5,268.3548387
Delhi,2016,6,243.7333333
Delhi,2016,7,164.9666667
Delhi,2016,8,147.4193548
Delhi,2016,9,218.7
Delhi,2016,10,411.0645161
Delhi,2016,11,474.8333333
Delhi,2016,12,409.2903226
Delhi,2017,1,354.1935484
Delhi,2017,2,343.9285714
Delhi,2017,3,282.2580645
Delhi,2017,4,316.8
Delhi,2017,5,315.4193548
Delhi,2017,6,144.7586207
Delhi,2017,7,67.16129032
Delhi,2017,8,68.30434783
Delhi,2017,9,114.6666667
Delhi,2017,10,284.1612903
Delhi,2017,11,406.7333333
Delhi,2017,12,337.1290323
Delhi,2018,1,349.7419355
Delhi,2018,2,289.1785714
Delhi,2018,3,234.1290323
Delhi,2018,4,245.5333333
Delhi,2018,5,235.3225806
Delhi,2018,6,224.3666667
Delhi,2018,7,112.4193548
Delhi,2018,8,122.0645161
Delhi,2018,9,121.9333333
Delhi,2018,10,290.4193548
Delhi,2018,11,367.0666667
Delhi,2018,12,400.3870968
Delhi,2019,1,365.7419355
Delhi,2019,2,258.1785714
Delhi,2019,3,197.3548387
Delhi,2019,4,219.4
Delhi,2019,5,235.8387097
Delhi,2019,6,197.7666667
Delhi,2019,7,145.0967742
Delhi,2019,8,99.29032258
Delhi,2019,9,106.5333333
Delhi,2019,10,251
Delhi,2019,11,356.1
Delhi,2019,12,353.9032258
Delhi,2020,1,308.4516129
Delhi,2020,2,262.137931
Delhi,2020,3,135.8387097
Delhi,2020,4,113
Delhi,2020,5,148.6451613
Delhi,2020,6,125.7333333
Delhi,2020,7,101
Delhi,2020,8,98.0808583
Delhi,2020,9,98.78775345
Delhi,2020,10,98.61657274
Delhi,2020,11,98.65802561
Delhi,2020,12,98.64798745
Delhi,2021,1,98.65041827
Delhi,2021,2,98.64982963
Delhi,2021,3,98.64997217
Delhi,2021,4,98.64993766
Delhi,2021,5,98.64994601
Delhi,2021,6,98.64994399
Delhi,2021,7,98.64994448
Delhi,2021,8,98.64994436
Delhi,2021,9,98.64994439
Delhi,2021,10,98.64994438
Delhi,2021,11,98.64994439
Delhi,2021,12,98.64994438
Delhi,2022,1,98.64994439
Delhi,2022,2,98.64994439
Delhi,2022,3,98.64994439
Delhi,2022,4,98.64994439
Delhi,2022,5,98.64994439
Delhi,2022,6,98.64994439
Delhi,2022,7,98.64994439
Delhi,2022,8,98.64994439
Delhi,2022,9,98.64994439
Delhi,2022,10,98.64994439
Delhi,2022,11,98.64994439
Delhi,2022,12,98.64994439
Delhi,2023,1,98.64994439
Delhi,2023,2,98.64994439
Delhi,2023,3,98.64994439
Delhi,2023,4,98.64994439
Delhi,2023,5,98.64994439
Delhi,2023,6,98.64994439
Delhi,2023,7,98.64994439
Delhi,2023,8,98.64994439
Delhi,2023,9,98.64994439
Delhi,2023,10,98.64994439
Delhi,2023,11,98.64994439
Delhi,2023,12,98.64994439
Delhi,2024,1,98.64994439
Delhi,2024,2,98.64994439
Delhi,2024,3,98.64994439
Delhi,2024,4,98.64994439
Delhi,2024,5,98.64994439
Delhi,2024,6,98.64994439
Delhi,2024,7,98.64994439
Delhi,2024,8,98.64994439
Delhi,2024,9,98.64994439
Delhi,2024,10,98.64994439
Delhi,2024,11,98.64994439
Delhi,2024,12,98.64994439
Delhi,2025,1,98.64994439
Delhi,2025,2,98.64994439
Delhi,2025,3,98.64994439
Delhi,2025,4,98.64994439
Delhi,2025,5,98.64994439
Delhi,2025,6,98.64994439
Delhi,2025,7,98.64994439
